customer_id,first_name,last_name,phone,email,street,city,state,zip_code
1,Debra,Burks,NULL,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127
2,Kasha,Todd,NULL,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008
3,Tameka,Fisher,NULL,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278
4,Daryl,Spence,NULL,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820
6,Lyndsey,Bean,NULL,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215
8,Jacquline,Duncan,NULL,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372
9,Genoveva,Baldwin,NULL,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050
10,Pamelia,Newman,NULL,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950
11,Deshawn,Mendoza,NULL,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550
13,Lashawn,Ortiz,NULL,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604
14,Garry,Espinoza,NULL,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126
15,Linnie,Branch,NULL,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002
17,Caren,Stephens,NULL,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583
18,Georgetta,Hardin,NULL,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424
19,Lizzette,Stein,NULL,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127
20,Aleta,Shepard,NULL,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478
21,Tobie,Little,NULL,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904
22,Adelle,Larsen,NULL,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731
23,Kaylee,English,NULL,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423
24,Corene,Wall,NULL,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301
25,Regenia,Vaughan,NULL,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561
27,Santos,Valencia,NULL,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104
28,Jeanice,Frost,NULL,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562
29,Syreeta,Hendricks,NULL,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541
30,Jamaal,Albert,NULL,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603
32,Araceli,Golden,NULL,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831
33,Deloris,Burke,NULL,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274
34,Brittney,Woodward,NULL,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731
35,Guillermina,Noble,NULL,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027
36,Bernita,Mcdaniel,NULL,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090
37,Melia,Brady,NULL,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378
38,Zelma,Browning,NULL,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102
39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,14086
40,Ronna,Butler,NULL,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316
41,Kathie,Freeman,NULL,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804
42,Tangela,Quinn,NULL,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418
43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,77016
44,Onita,Johns,NULL,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003
45,Bennett,Armstrong,NULL,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714
46,Monika,Berg,NULL,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316
47,Bridgette,Guerra,NULL,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580
48,Cesar,Jackson,NULL,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,13090
49,Caroll,Hays,NULL,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,14450
50,Cleotilde,Booth,NULL,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,77478
51,Gertrud,Rhodes,NULL,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,11566
52,Tu,Ramirez,NULL,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,11369
53,Saturnina,Garner,NULL,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740
54,Fran,Yang,NULL,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,13501
55,Diana,Guerra,NULL,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,11566
56,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,TX,77016
57,Pamala,Henry,NULL,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,10451
58,Damien,Dorsey,NULL,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,11722
59,Latasha,Stanley,NULL,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,11570
60,Neil,Mccall,NULL,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070
61,Elinore,Aguilar,NULL,elinore.aguilar@msn.com,9766 Rockcrest Ave. ,San Angelo,TX,76901
62,Alica,Hunter,NULL,alica.hunter@hotmail.com,8 San Juan Drive ,East Elmhurst,NY,11369
63,Tenisha,Lyons,NULL,tenisha.lyons@aol.com,78 E. Rock Creek Street ,Amityville,NY,11701
64,Bobbie,Foster,NULL,bobbie.foster@yahoo.com,988 Pineknoll Ave. ,Desoto,TX,75115
65,Kanesha,Vega,NULL,kanesha.vega@gmail.com,771 E. Oxford Drive ,Rome,NY,13440
66,Lorrie,Becker,NULL,lorrie.becker@yahoo.com,19 North Court ,Garland,TX,75043
67,Tommie,Melton,(916) 802-2952,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,CA,95820
